PostalCode,policies,claims_count,claim_freq,total_premium,total_claims,loss_ratio,z_freq_vs_rest,p_freq_vs_rest,mw_stat_severity_vs_rest,p_severity_vs_rest
2000.0,249.0,243.0,0.9759036144578314,4383355.858850513,4530395.5677192975,1.0335450083460356,20.63496647191099,1.3323773440264871e-94,125984.0,0.5669769942303692
122.0,163.0,76.0,0.4662576687116564,1130534.9592409402,1438244.272631579,1.2721802726005396,2.6501626323046357,0.008045303289086966,43788.0,0.7312648621099915
299.0,108.0,37.0,0.3425925925925926,749484.6482972719,448558.72052631585,0.5984895375047118,-0.5681451530084864,0.5699364100726907,16996.5,0.010521280280962025
458.0,66.0,15.0,0.22727272727272727,333550.9448683521,426393.48070175434,1.2783458936686445,-2.402469462524467,0.016284794169525912,9299.5,0.9957099584600307
152.0,60.0,15.0,0.25,336841.3614215095,81363.35087719296,0.24154798132221714,-1.9204283365033432,0.054803817129796525,4750.5,0.0010885406025454905
7784.0,53.0,19.0,0.3584905660377358,366245.29714677687,876788.456140351,2.3939923951814412,-0.15292042170132303,0.8784610311315715,14963.5,0.040462990078956214
4000.0,42.0,9.0,0.21428571428571427,265296.41553361836,366599.0350877197,1.3818469214909699,-2.0852167646205086,0.03704962881011551,,
1863.0,42.0,29.0,0.6904761904761905,259837.61028212882,1135635.921052632,4.37056021189377,4.351756726164541,1.3505106405740749e-05,23188.0,0.0051423460539603
1724.0,36.0,15.0,0.4166666666666667,253266.02674674473,278760.4999999998,1.1006628231221414,0.6017071266172609,0.5473691053413285,10339.5,0.4596103449716886
470.0,36.0,22.0,0.6111111111111112,281717.8298350165,151596.69298245612,0.5381153655458594,3.032995272379689,0.002421393935271185,7972.0,0.0008832738912233593
